accession,description,length_bp,source,host_genus,in_interaction_matrix
ON932080.1,"Xanthomonas phage vB_Xar_IVIA-DoCa6, complete genome",62951,canonical_xanthomonas,Xanthomonas,yes
ON932081.1,"Xanthomonas phage vB_Xar_IVIA-DoCa7, complete genome",42881,canonical_xanthomonas,Xanthomonas,yes
ON932082.1,"Xanthomonas phage vB_Xar_IVIA-DoCa8, complete genome",43697,canonical_xanthomonas,Xanthomonas,yes
ON932083.1,"Xanthomonas phage vB_Xar_IVIA-DoCa9, complete genome",43240,canonical_xanthomonas,Xanthomonas,yes
ON932084.1,"Xanthomonas phage vB_Xar_IVIA-DoCa10, complete genome",64024,canonical_xanthomonas,Xanthomonas,yes
ON932085.1,"Xanthomonas phage vB_Xar_IVIA-DoCa11, complete genome",43025,canonical_xanthomonas,Xanthomonas,yes
ON960072.2,"Xanthomonas phage pXoo2106, complete genome",43713,canonical_xanthomonas,Xanthomonas,yes
ON996340.1,"Xanthomonas phage BsXeu269p/3, complete genome",46280,canonical_xanthomonas,Xanthomonas,yes
OP067662.1,"Xanthomonas phage pXoo2107, complete genome",46052,canonical_xanthomonas,Xanthomonas,yes
OP292654.1,"Xanthomonas phage XbC2, complete genome",367901,canonical_xanthomonas,Xanthomonas,yes
OP413789.1,"Xanthomonas phage ZP3, complete genome",44713,canonical_xanthomonas,Xanthomonas,yes
OP548052.1,"Xanthomonas phage NED111, complete genome",44424,canonical_xanthomonas,Xanthomonas,yes
OP583591.1,"Xanthomonas phage F5, complete genome",44616,canonical_xanthomonas,Xanthomonas,yes
OP583592.1,"Xanthomonas phage GF2, complete genome",45223,canonical_xanthomonas,Xanthomonas,yes
OP583593.1,"Xanthomonas phage GF1, complete genome",42522,canonical_xanthomonas,Xanthomonas,yes
OP583594.1,"Xanthomonas phage P4, complete genome",44329,canonical_xanthomonas,Xanthomonas,yes
OP583595.1,"Xanthomonas phage S3, complete genome",45224,canonical_xanthomonas,Xanthomonas,yes
OP752703.1,"Stenotrophomonas phage RAS14, complete genome",,negative_pool,Stenotrophomonas,no
OP948730.1,"Xanthomonas phage L522, complete genome",44497,canonical_xanthomonas,Xanthomonas,yes
OQ055246.1,"Xanthomonas phage vB_XooS_NR08, complete genome",98812,canonical_xanthomonas,Xanthomonas,yes
OQ427096.1,"Xanthomonas phage X1, complete genome",200058,canonical_xanthomonas,Xanthomonas,yes
OQ435241.1,"UNVERIFIED: Xanthomonas phage NUT13, complete genome",44389,canonical_xanthomonas,Unknown,yes
OQ436456.1,"Xanthomonas phage JGB6, complete genome",106569,canonical_xanthomonas,Xanthomonas,yes
OQ446483.1,"UNVERIFIED: Xanthomonas phage NUT3, complete genome",44389,canonical_xanthomonas,Unknown,yes
OQ446484.1,"UNVERIFIED: Xanthomonas phage NUT4, complete genome",43993,canonical_xanthomonas,Unknown,yes
OQ446485.1,"UNVERIFIED: Xanthomonas phage NUT11, complete genome",42331,canonical_xanthomonas,Unknown,yes
OQ446486.1,"UNVERIFIED: Xanthomonas phage NUT20, complete genome",44388,canonical_xanthomonas,Unknown,yes
OQ446487.1,"UNVERIFIED: Xanthomonas phage NUT30, complete genome",44389,canonical_xanthomonas,Unknown,yes
OQ446488.1,"UNVERIFIED: Xanthomonas phage NUT29, complete genome",44145,canonical_xanthomonas,Unknown,yes
OQ603349.1,"UNVERIFIED: Pseudomonas phage Ep007, complete genome",41236,canonical_xanthomonas,Unknown,yes
OQ603350.1,"UNVERIFIED: Pseudomonas phage Ep017, complete genome",40570,canonical_xanthomonas,Unknown,yes
OQ603351.1,"UNVERIFIED: Pseudomonas phage Ep020, complete genome",98129,canonical_xanthomonas,Unknown,yes
OQ603352.1,"UNVERIFIED: Pseudomonas phage Ep022, complete genome",40665,canonical_xanthomonas,Unknown,yes
OQ603353.1,"UNVERIFIED: Xanthomonas phage Ep026, complete genome",227420,canonical_xanthomonas,Unknown,yes
OQ603354.1,"UNVERIFIED: Xanthomonas phage Ep027, complete genome",44425,canonical_xanthomonas,Unknown,yes
OQ603355.1,"UNVERIFIED: Xanthomonas phage Ep028, complete genome",42944,canonical_xanthomonas,Unknown,yes
OQ603356.1,"UNVERIFIED: Xanthomonas phage Ep029, complete genome",64119,canonical_xanthomonas,Unknown,yes
OQ622092.1,"Xanthomonas phage 10KY502B, complete genome",43262,canonical_xanthomonas,Xanthomonas,yes
OQ676962.1,"Xanthomonas phage NEB7, complete genome",45241,canonical_xanthomonas,Xanthomonas,yes
OQ756160.1,"Xanthomonas phage XAP3, complete genome",61032,canonical_xanthomonas,Xanthomonas,yes
OQ790161.1,"Xanthomonas phage RTH11, complete genome",312199,canonical_xanthomonas,Xanthomonas,yes
OQ818705.1,"Erwinia phage Pastis, complete genome",,negative_pool,Erwinia,no
OQ863049.1,"Staphylococcus phage SapYZUs8, complete genome",,negative_pool,Staphylococcus,no
OR122686.1,"Salmonella phage vB_SenM-AKM_CE, complete genome",41337,canonical_xanthomonas,Salmonella,yes
OR209256.1,"Stenotrophomonas phage c9-N, complete genome",,negative_pool,Stenotrophomonas,no
OR258281.1,"Xanthomonas phage XaC1, complete genome",348967,canonical_xanthomonas,Xanthomonas,yes
OR500351.1,"Xanthomonas phage Murka, complete genome",44044,canonical_xanthomonas,Xanthomonas,yes
OR529408.1,"Stenotrophomonas phage BUCTxx99, complete genome",,negative_pool,Stenotrophomonas,no
OR529409.1,"Stenotrophomonas phage BUCTxx100, complete genome",,negative_pool,Stenotrophomonas,no
OR540302.1,"Pseudomonas phage vB_PaeM_PKMS3, complete genome",,negative_pool,Pseudomonas,no
OR729839.1,"Stenotrophomonas phage StenM_174, complete genome",,negative_pool,Stenotrophomonas,no
OR797040.1,"Stenotrophomonas phage vB_SmaM_Bhz51, complete genome",,negative_pool,Stenotrophomonas,no
OR797041.1,"Stenotrophomonas phage vB_SmaS_Bhz54, complete genome",,negative_pool,Stenotrophomonas,no
OR797042.1,"Stenotrophomonas phage vB_SmaS_Bhz55, complete genome",,negative_pool,Stenotrophomonas,no
OR797043.1,"Stenotrophomonas phage vB_SmaS_Bhz58, complete genome",,negative_pool,Stenotrophomonas,no
OR797044.1,"Stenotrophomonas phage vB_SmaS_Bhz59, complete genome",,negative_pool,Stenotrophomonas,no
OR797045.1,"Stenotrophomonas phage vB_SmaS_Bhz60, complete genome",,negative_pool,Stenotrophomonas,no
OR797046.1,"Stenotrophomonas phage vB_SmaS_Bhz63, complete genome",,negative_pool,Stenotrophomonas,no
OR820514.1,"Xanthomonas phage AhaSv, complete genome",55576,canonical_xanthomonas,Xanthomonas,yes
OR838459.1,"Stenotrophomonas phage StenR_269, complete genome",,negative_pool,Stenotrophomonas,no
OR842880.1,"Xanthomonas phage SU1, complete genome",45142,canonical_xanthomonas,Xanthomonas,yes
OR966858.1,"Xanthomonas phage NP1, complete genome",43329,canonical_xanthomonas,Xanthomonas,yes
OR997969.1,"Agrobacterium phage Alfirin, complete genome",46051,canonical_xanthomonas,Agrobacterium,yes
OR997970.1,"Pseudomonas phage Athelas, complete genome",40850,canonical_xanthomonas,Pseudomonas,yes
OZ418229.1,"Escherichia phage Josas_2H4 genome assembly, complete genome: monopartite",,negative_pool,Escherichia,no
OZ418230.1,"Escherichia phage jv_4E6 genome assembly, complete genome: monopartite",,negative_pool,Escherichia,no
OZ418233.1,"Escherichia phage ue_4C9 genome assembly, complete genome: monopartite",,negative_pool,Escherichia,no
OZ418234.1,"Escherichia phage ue_4E6 genome assembly, complete genome: monopartite",,negative_pool,Escherichia,no
OZ453044.1,"Pseudomonas phage OmaKarin genome assembly, chromosome: 1",,negative_pool,Pseudomonas,no
PP079413.1,"Xanthomonas phage SB1, complete genome",43983,canonical_xanthomonas,Xanthomonas,yes
PP079414.1,"Xanthomonas phage SB3, complete genome",43093,canonical_xanthomonas,Xanthomonas,yes
PP079415.1,"Xanthomonas phage SB4, complete genome",44323,canonical_xanthomonas,Xanthomonas,yes
PP079416.1,"Stenotrophomonas phage SB2, complete genome",43103,canonical_xanthomonas,Stenotrophomonas,yes
PP079417.1,"Stenotrophomonas phage SB5, complete genome",43747,canonical_xanthomonas,Stenotrophomonas,yes
PP079418.1,"Stenotrophomonas phage SOVA965, complete genome",46423,canonical_xanthomonas,Stenotrophomonas,yes
PP179318.1,"Pseudomonas phage Nican01, complete genome",112436,canonical_xanthomonas,Pseudomonas,yes
PP179325.1,"Pseudomonas phage Touem01, complete genome",91577,canonical_xanthomonas,Pseudomonas,yes
PP179326.1,"Pseudomonas phage Orimi01, complete genome",,negative_pool,Pseudomonas,no
PP179327.1,"Pseudomonas phage Orisa03, complete genome",44995,canonical_xanthomonas,Pseudomonas,yes
PP179328.1,"Pseudomonas phage Orisa02, complete genome",45363,canonical_xanthomonas,Pseudomonas,yes
PP179329.1,"Pseudomonas phage Orisa01, complete genome",45336,canonical_xanthomonas,Pseudomonas,yes
PP313117.1,"Xanthomonas phage Kintu, complete genome",48985,canonical_xanthomonas,Xanthomonas,yes
PP391659.1,"Xanthomonas phage XapPhi1, complete genome",44947,canonical_xanthomonas,Xanthomonas,yes
PP391660.1,"Xanthomonas phage XapPhi2, complete genome",44959,canonical_xanthomonas,Xanthomonas,yes
PP391661.1,"Xanthomonas phage XapPhi3, complete genome",45532,canonical_xanthomonas,Xanthomonas,yes
PP391662.1,"Xanthomonas phage XapPhi4, complete genome",45675,canonical_xanthomonas,Xanthomonas,yes
PP391663.1,"Xanthomonas phage XapPhi5, complete genome",45529,canonical_xanthomonas,Xanthomonas,yes
PP391664.1,"Xanthomonas phage XapPhi6, complete genome",45571,canonical_xanthomonas,Xanthomonas,yes
PP431385.1,"Xanthomonas phage XAP-2, complete genome",16361,canonical_xanthomonas,Xanthomonas,yes
PP475461.1,"Xanthomonas phage phiXF1, complete genome",113538,canonical_xanthomonas,Xanthomonas,yes
PP550502.1,"Stenotrophomonas phage CM2, complete genome",,negative_pool,Stenotrophomonas,no
PP554396.1,"Stenotrophomonas phage Stm18, complete genome",,negative_pool,Stenotrophomonas,no
PP566124.1,"Dickeya phage BIM BV-99, complete genome",40246,canonical_xanthomonas,Dickeya,yes
PP747256.1,"Stenotrophomonas phage cm3, complete genome",,negative_pool,Stenotrophomonas,no
PP756300.1,"Xanthomonas phage vB_XeuM-YB23, complete genome",63787,canonical_xanthomonas,Xanthomonas,yes
PP780467.1,"Xanthomonas phage MK21, complete genome",43506,canonical_xanthomonas,Xanthomonas,yes
PP816325.1,"Xylella phage MATE2, complete genome",,negative_pool,Xylella,no
PP895208.1,"Xylella phage vB_Xf_IVIA-DoCa15, complete genome",,negative_pool,Xylella,no
PP895209.1,"Xylella phage vB_Xf_IVIA-DoCa18, complete genome",,negative_pool,Xylella,no
PP895210.1,"Xylella phage vB_Xf_IVIA-DoCa19, complete genome",,negative_pool,Xylella,no
PP895211.1,"Xylella phage vB_Xf_IVIA-DoCa21, complete genome",,negative_pool,Xylella,no
PP921743.1,"Stenotrophomonas phage vB_SmaS_QH1, complete genome",,negative_pool,Stenotrophomonas,no
PP921744.1,"Stenotrophomonas phage vB_SmaS_QH16, complete genome",,negative_pool,Stenotrophomonas,no
PP932004.1,"Stenotrophomonas phage vB_SmaS_QH3, complete genome",,negative_pool,Stenotrophomonas,no
PP952055.1,"Staphylococcus phage d191, complete genome",,negative_pool,Staphylococcus,no
PQ067315.1,"Xanthomonas phage fSU1, complete genome",10956,canonical_xanthomonas,Xanthomonas,yes
PQ072796.2,"UNVERIFIED: Pseudomonas phage PAYQ66, complete genome",,negative_pool,Unknown,no
PQ074228.1,"Stenotrophomonas phage SBP2phi2, complete genome",,negative_pool,Stenotrophomonas,no
PQ093899.1,"Xanthomonas phage L13.2, complete genome",41106,canonical_xanthomonas,Xanthomonas,yes
PQ111865.1,"Stenotrophomonas phage vB_SmaS_BCU1, complete genome",,negative_pool,Stenotrophomonas,no
PQ305824.1,"Pseudomonas phage PAW33, complete genome",,negative_pool,Pseudomonas,no
PQ338056.1,"Bacillus phage TPL-01, complete genome",,negative_pool,Bacillus,no
PQ358089.1,"Stenotrophomonas phage TPWB-10, complete genome",,negative_pool,Stenotrophomonas,no
PQ434692.1,"Stenotrophomonas phage ANB28, complete genome",,negative_pool,Stenotrophomonas,no
PQ434693.1,"Stenotrophomonas phage KB824, complete genome",,negative_pool,Stenotrophomonas,no
PQ476032.1,"Xanthomonas phage phiXacJX1, complete genome",44403,canonical_xanthomonas,Xanthomonas,yes
PQ492157.1,"Stenotrophomonas phage S72, complete genome",,negative_pool,Stenotrophomonas,no
PQ492158.1,"Stenotrophomonas phage S28phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ492159.1,"Stenotrophomonas phage S28phi2, complete genome",,negative_pool,Stenotrophomonas,no
PQ492160.1,"Stenotrophomonas phage SBP6phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ492161.1,"Stenotrophomonas phage SBP4phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ492162.1,"Stenotrophomonas phage SBP7phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498454.1,"Stenotrophomonas phage SBP1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498455.1,"Stenotrophomonas phage SBP2phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498456.1,"Stenotrophomonas phage SBP5phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498457.1,"Stenotrophomonas phage SBP3.1phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498458.1,"Stenotrophomonas phage SBP4phi2, complete genome",,negative_pool,Stenotrophomonas,no
PQ498459.1,"Stenotrophomonas phage SBP5phi2, complete genome",,negative_pool,Stenotrophomonas,no
PQ498460.1,"Stenotrophomonas phage SBP3.2phi1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498461.1,"Stenotrophomonas phage SBP3.1phi2.1, complete genome",,negative_pool,Stenotrophomonas,no
PQ498462.1,"Stenotrophomonas phage SBP3.1phi2, complete genome",,negative_pool,Stenotrophomonas,no
PQ569993.1,"Xanthomonas phage vB_Xcc_GYRb1, complete genome",91478,canonical_xanthomonas,Xanthomonas,yes
PQ571267.1,"Bacteroides phage BKO1-3, complete genome",,negative_pool,Bacteroides,no
PQ571275.1,"Bacteroides phage BS-TP2, complete genome",57555,canonical_xanthomonas,Bacteroides,yes
PQ571276.1,"Bacteroides phage BS-TP3, complete genome",57510,canonical_xanthomonas,Bacteroides,yes
PQ571287.1,"Enterococcus phage EA1, complete genome",,negative_pool,Enterococcus,no
PQ571292.1,"Enterococcus phage EG-TP1, complete genome",,negative_pool,Enterococcus,no
PQ571296.1,"Klebsiella phage KA2-1, complete genome",43668,canonical_xanthomonas,Klebsiella,yes
PQ618007.1,"Bacillus phage PBC_MG88, complete genome",,negative_pool,Bacillus,no
PQ628237.3,"Pseudomonas phage vanta, complete genome",,negative_pool,Pseudomonas,no
PQ632788.4,"Pseudomonas phage Luminis, complete genome",,negative_pool,Pseudomonas,no
PQ634339.1,"Bacillus phage PBC_MG99, complete genome",,negative_pool,Bacillus,no
PQ758588.1,"Bacillus phage PS1, complete genome",,negative_pool,Bacillus,no
PQ805431.1,"Pseudomonas phage MME, complete genome",,negative_pool,Pseudomonas,no
PQ821741.1,"Escherichia phage S11, complete genome",,negative_pool,Escherichia,no
PQ821891.1,"Pseudomonas phage WCHPA-P2, complete genome",,negative_pool,Pseudomonas,no
PQ826431.1,"UNVERIFIED: Escherichia phage pCABI-SEA001, complete genome",,negative_pool,Unknown,no
PQ890122.1,"Salmonella phage vB_SeT-PST5, complete genome",,negative_pool,Salmonella,no
PV012638.1,"Xanthomonas phage SAC, complete genome",43900,canonical_xanthomonas,Xanthomonas,yes
PV037644.1,"Bacillus phage vB_BcM_CUBc25, complete genome",,negative_pool,Bacillus,no
PV037726.1,"Xanthomonas phage Valrath, complete genome",43817,canonical_xanthomonas,Xanthomonas,yes
PV130723.1,"Stenotrophomonas phage Yut2, complete genome",,negative_pool,Stenotrophomonas,no
PV130724.1,"Stenotrophomonas phage Yut3, complete genome",,negative_pool,Stenotrophomonas,no
PV130725.1,"Stenotrophomonas phage Yut1, complete genome",,negative_pool,Stenotrophomonas,no
PV130726.1,"Stenotrophomonas phage Yut4, complete genome",,negative_pool,Stenotrophomonas,no
PV156121.1,"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",,negative_pool,Stenotrophomonas,no
PV224507.1,"Stenotrophomonas phage vB_SmaS_YA1, complete genome",,negative_pool,Stenotrophomonas,no
PV231355.1,"Caulobacter phage RBC11, complete genome",,negative_pool,Caulobacter,no
PV261948.1,"Bacillus phage vB_BliM_Yucatan, complete genome",,negative_pool,Bacillus,no
PV296012.1,"Bacillus phage 0524phi7-1, complete genome",,negative_pool,Bacillus,no
PV408261.1,"Xanthomonas phage PhiXhv-1, complete genome",46109,canonical_xanthomonas,Xanthomonas,yes
PV426909.1,"Staphylococcus phage vB_Sep_steph3, complete genome",,negative_pool,Staphylococcus,no
PV426910.1,"Staphylococcus phage vB_Sep_steph4, complete genome",,negative_pool,Staphylococcus,no
PV449003.1,"Bacillus phage vB_BceH_LBC2, complete genome",,negative_pool,Bacillus,no
PV504775.1,"Bacillus phage 268TH008, complete genome",,negative_pool,Bacillus,no
PV504776.1,"Bacillus phage 268TH003, complete genome",,negative_pool,Bacillus,no
PV506377.1,"Xanthomonas phage vB_XORNC02, complete genome",46608,canonical_xanthomonas,Xanthomonas,yes
PV506378.1,"Klebsiella phage Silvester, complete genome",,negative_pool,Klebsiella,no
PV695472.1,"Bacillus phage Bquatquinnuvirus eskimopiis B450C, complete genome",,negative_pool,Bacillus,no
PV695473.1,"Bacillus phage Bquatquinnuvirus eskimopiis B450T, complete genome",,negative_pool,Bacillus,no
PV702347.1,"Xanthomonas phage PhiXhv-2, complete genome",47229,canonical_xanthomonas,Xanthomonas,yes
PV714881.1,"Stenotrophomonas phage BUCT799, complete genome",,negative_pool,Stenotrophomonas,no
PV754127.1,"Xanthomonas phage PhiXhv-28, complete genome",46883,canonical_xanthomonas,Xanthomonas,yes
PV764598.1,"Xanthomonas phage PhiXhv-5, complete genome",47720,canonical_xanthomonas,Xanthomonas,yes
PV764599.1,"Xanthomonas phage PhiXhv-7, complete genome",46786,canonical_xanthomonas,Xanthomonas,yes
PV764600.1,"Xanthomonas phage PhiXhv-18, complete genome",47821,canonical_xanthomonas,Xanthomonas,yes
PV764601.1,"Xanthomonas phage PhiXhv-12, complete genome",227648,canonical_xanthomonas,Xanthomonas,yes
PV764602.1,"Xanthomonas phage PhiXhv-15, complete genome",228725,canonical_xanthomonas,Xanthomonas,yes
PV764603.1,"Xanthomonas phage PhiXhv-16, complete genome",229154,canonical_xanthomonas,Xanthomonas,yes
PV796108.1,"Bacillus phage Edson, complete genome",,negative_pool,Bacillus,no
PV844446.1,"Bacillus phage 279BB001, complete genome",,negative_pool,Bacillus,no
PV915868.1,"Mycobacterium phage Snickers, complete genome",,negative_pool,Mycobacterium,no
PV915871.1,"Mycobacterium phage Lea83, complete genome",,negative_pool,Mycobacterium,no
PV915872.1,"Mycobacterium phage Kolhan, complete genome",,negative_pool,Mycobacterium,no
PV915874.1,"Mycobacterium phage EGUnicorn, complete genome",,negative_pool,Mycobacterium,no
PV915877.1,"Mycobacterium phage Bern, complete genome",,negative_pool,Mycobacterium,no
PV915878.1,"Mycobacterium phage November, complete genome",,negative_pool,Mycobacterium,no
PV915887.1,"Mycobacterium phage Thimble, complete genome",,negative_pool,Mycobacterium,no
PV915889.1,"Mycobacterium phage Koan, complete genome",,negative_pool,Mycobacterium,no
PV915890.1,"Mycobacterium phage SenorClean, complete genome",,negative_pool,Mycobacterium,no
PV915895.1,"Mycobacterium phage Aloeri, complete genome",,negative_pool,Mycobacterium,no
PV915896.1,"Mycobacterium phage Brushbloom, complete genome",,negative_pool,Mycobacterium,no
PV915901.1,"Mycobacterium phage TinyTerror, complete genome",,negative_pool,Mycobacterium,no
PV915902.1,"Mycobacterium phage MacKat, complete genome",,negative_pool,Mycobacterium,no
PV920691.1,"Escherichia phage vB_EcoM_ED, complete genome",,negative_pool,Escherichia,no
PV940981.1,"Mycobacterium phage SVoro, complete genome",,negative_pool,Mycobacterium,no
PV940982.1,"Mycobacterium phage Underpass, complete genome",,negative_pool,Mycobacterium,no
PV940985.1,"Mycobacterium phage GlutenPhree, complete genome",,negative_pool,Mycobacterium,no
PV940986.1,"Mycobacterium phage Coletti, complete genome",,negative_pool,Mycobacterium,no
PV940988.1,"Mycobacterium phage Alkhayr, complete genome",,negative_pool,Mycobacterium,no
PV940996.1,"Mycobacterium phage Ablatia, complete genome",,negative_pool,Mycobacterium,no
PV940998.1,"Mycobacterium phage JulietS, complete genome",,negative_pool,Mycobacterium,no
PV941000.1,"Mycobacterium phage Matsumoto, complete genome",,negative_pool,Mycobacterium,no
PV976809.1,"Pseudomonas phage phiK601, complete genome",,negative_pool,Pseudomonas,no
PV976849.1,"Pseudomonas phage PTLB_14-5818, complete genome",,negative_pool,Pseudomonas,no
PV985310.1,"Staphylococcus phage 29740-R20-P4, complete genome",,negative_pool,Staphylococcus,no
PX021331.1,"Escherichia phage Serwaa, complete genome",,negative_pool,Escherichia,no
PX021573.1,"Staphylococcus phage vB_SauP_RLup11, complete genome",,negative_pool,Staphylococcus,no
PX021574.1,"Staphylococcus phage vB_SauP_RLup12, complete genome",,negative_pool,Staphylococcus,no
PX021575.1,"Staphylococcus phage vB_SeqP_SEP, complete genome",,negative_pool,Staphylococcus,no
PX023499.1,"UNVERIFIED: Bacillus phage PHZU0001, complete genome",,negative_pool,Unknown,no
PX068454.1,"Escherichia phage ECP2306, complete genome",,negative_pool,Escherichia,no
PX068455.1,"Escherichia phage ECP2308, complete genome",,negative_pool,Escherichia,no
PX068456.1,"Escherichia phage ECP2402, complete genome",,negative_pool,Escherichia,no
PX091869.1,"Salmonella phage vB_salP-bTM, complete genome",,negative_pool,Salmonella,no
PX091870.1,"Salmonella phage vB_salP-bKK1, complete genome",,negative_pool,Salmonella,no
PX091871.1,"Salmonella phage vB_salP-pSN, complete genome",,negative_pool,Salmonella,no
PX091872.1,"Salmonella phage vB_salP-pYM, complete genome",,negative_pool,Salmonella,no
PX102495.1,"Staphylococcus phage LAC-R10-P2, complete genome",,negative_pool,Staphylococcus,no
PX132564.1,"Escherichia phage vB_Eco_ppH1, complete genome",,negative_pool,Escherichia,no
PX237226.1,"Salmonella phage GSP060, complete genome",,negative_pool,Salmonella,no
PX259653.1,"Pseudomonas phage PO4, complete genome",,negative_pool,Pseudomonas,no
PX260327.1,"Pseudomonas phage vB_PaeP-27853, complete genome",,negative_pool,Pseudomonas,no
PX260991.1,"Pseudomonas phage OmaKarin, complete genome",,negative_pool,Pseudomonas,no
PX278216.1,"Staphylococcus phage SA1298, complete genome",,negative_pool,Staphylococcus,no
PX310626.1,"Xanthomonas phage GJKY_A, complete genome",62551,canonical_xanthomonas,Xanthomonas,yes
PX376716.1,"Staphylococcus phage 1306KAYMAS-S15, complete genome",,negative_pool,Staphylococcus,no
PX377017.1,"Pseudomonas phage PFXL2-1, complete genome",,negative_pool,Pseudomonas,no
PX380000.1,"Pseudomonas phage 41S1, complete genome",,negative_pool,Pseudomonas,no
PX393108.1,"Escherichia phage Inksom_phi25-6, complete genome",,negative_pool,Escherichia,no
PX393109.1,"Escherichia phage Inksom_phi25-4, complete genome",,negative_pool,Escherichia,no
PX393110.1,"Escherichia phage Inksom_phi50-4, complete genome",,negative_pool,Escherichia,no
PX395730.1,"Pseudomonas phage Shea, complete genome",,negative_pool,Pseudomonas,no
PX408737.1,"Xanthomonas phage Juel629, complete genome",288866,canonical_xanthomonas,Xanthomonas,yes
PX408738.1,"Xanthomonas phage Jill608, complete genome",93995,canonical_xanthomonas,Xanthomonas,yes
PX408739.1,"Xanthomonas phage Carill600, complete genome",43100,canonical_xanthomonas,Xanthomonas,yes
PX418225.1,"Pseudomonas phage ACS, complete genome",,negative_pool,Pseudomonas,no
PX418226.1,"Pseudomonas phage XBug, complete genome",,negative_pool,Pseudomonas,no
PX418922.1,"Escherichia phage Junood_PK_3, complete genome",,negative_pool,Escherichia,no
PX418923.1,"Escherichia phage Junood_PK_4, complete genome",,negative_pool,Escherichia,no
PX418924.1,"Escherichia phage Junood_PK_5, complete genome",,negative_pool,Escherichia,no
PX418925.1,"Pseudomonas phage Junood_PK_1, complete genome",,negative_pool,Pseudomonas,no
PX418926.1,"Pseudomonas phage Junood_PK_2, complete genome",,negative_pool,Pseudomonas,no
PX421306.1,"UNVERIFIED: Escherichia phage ECL1, complete genome",,negative_pool,Unknown,no
PX433293.1,"UNVERIFIED: Pseudomonas phage PA3Z1, complete genome",,negative_pool,Unknown,no
PX441352.1,"UNVERIFIED: Salmonella phage KIT07, complete genome",,negative_pool,Unknown,no
PX444441.1,"Xanthomonas phage L5.2, complete genome",45675,canonical_xanthomonas,Xanthomonas,yes
PX505723.1,"Stenotrophomonas phage vB_SmaM_QH202, complete genome",,negative_pool,Stenotrophomonas,no
PX516693.1,"Bacillus phage vB_Bl_WP7, complete genome",,negative_pool,Bacillus,no
PX529685.1,"Salmonella phage Salfin_2, complete genome",,negative_pool,Salmonella,no
PX530545.1,"UNVERIFIED: Staphylococcus phage NODE_1, complete genome",,negative_pool,Unknown,no
PX530551.1,"Xanthomonas phage XOPW, complete genome",42184,canonical_xanthomonas,Xanthomonas,yes
PX550013.1,"Staphylococcus phage EAS1, complete genome",,negative_pool,Staphylococcus,no
PX550014.1,"Staphylococcus phage EAS2, complete genome",,negative_pool,Staphylococcus,no
PX572931.1,"Escherichia phage Tiny, complete genome",,negative_pool,Escherichia,no
PX585177.1,"Pseudomonas phage vB_PaeM_BonaDea, complete genome",,negative_pool,Pseudomonas,no
PX596716.1,"Pseudomonas phage vB-PA-CH01, complete genome",,negative_pool,Pseudomonas,no
PX630731.1,"Xanthomonas phage XapPhi7, complete genome",45121,canonical_xanthomonas,Xanthomonas,yes
PX630732.1,"Xanthomonas phage XapPhi8, complete genome",45121,canonical_xanthomonas,Xanthomonas,yes
PX630733.1,"Xanthomonas phage XapPhi9, complete genome",45678,canonical_xanthomonas,Xanthomonas,yes
PX630734.1,"Xanthomonas phage XapPhi15, complete genome",45119,canonical_xanthomonas,Xanthomonas,yes
PX630735.1,"Xanthomonas phage XapPhi10, complete genome",45805,canonical_xanthomonas,Xanthomonas,yes
PX630736.1,"Xanthomonas phage XapPhi14, complete genome",45165,canonical_xanthomonas,Xanthomonas,yes
PX630737.1,"Xanthomonas phage XapPhi13, complete genome",45142,canonical_xanthomonas,Xanthomonas,yes
PX630738.1,"Xanthomonas phage XapPhi12, complete genome",45165,canonical_xanthomonas,Xanthomonas,yes
PX630739.1,"Xanthomonas phage XapPhi11, complete genome",45101,canonical_xanthomonas,Xanthomonas,yes
PX630740.1,"Xanthomonas phage XapPhi17, complete genome",45121,canonical_xanthomonas,Xanthomonas,yes
PX630741.1,"Xanthomonas phage XapPhi16, complete genome",44850,canonical_xanthomonas,Xanthomonas,yes
PX651399.1,"Salmonella phage vB_SEn_Bv0003, complete genome",,negative_pool,Salmonella,no
PX651400.1,"Salmonella phage vB_SEn_PH353, complete genome",,negative_pool,Salmonella,no
PX651401.1,"Salmonella phage vB_SEn_PH477, complete genome",,negative_pool,Salmonella,no
PX651402.1,"Salmonella phage vB_STy_BV004, complete genome",,negative_pool,Salmonella,no
PX651403.1,"Salmonella phage vB_SIn_BV005, complete genome",,negative_pool,Salmonella,no
PX651718.1,"Escherichia phage vB_EcoM_D15, complete genome",,negative_pool,Escherichia,no
PX654436.1,"Bacillus phage P37, complete genome",,negative_pool,Bacillus,no
PX655697.1,"Staphylococcus phage vB_SauM_HN02, complete genome",,negative_pool,Staphylococcus,no
