accession,files_present,genome_fna_bytes,proteins_faa_bytes,cds_fna_bytes
PQ498456.1,"cds.fna,genome.fna,proteins.faa",43755,9246,44383
PQ498457.1,"cds.fna,genome.fna,proteins.faa",43791,13812,40956
PQ498458.1,"cds.fna,genome.fna,proteins.faa",50605,27012,55431
PQ498459.1,"cds.fna,genome.fna,proteins.faa",50605,24934,55707
PQ498460.1,"cds.fna,genome.fna,proteins.faa",43670,14226,43014
PQ498461.1,"cds.fna,genome.fna,proteins.faa",50609,26916,56464
PQ498462.1,"cds.fna,genome.fna,proteins.faa",50607,34310,56650
PQ569993.1,"cds.fna,genome.fna,proteins.faa",92845,44767,97550
PQ571267.1,"cds.fna,genome.fna,proteins.faa",46180,24370,48236
PQ571275.1,"cds.fna,genome.fna,proteins.faa",58432,22491,59211
PQ571276.1,"cds.fna,genome.fna,proteins.faa",58386,21765,57738
PQ571287.1,"cds.fna,genome.fna,proteins.faa",154631,50745,152427
PQ571292.1,"cds.fna,genome.fna,proteins.faa",38619,15907,40685
PQ571296.1,"cds.fna,genome.fna,proteins.faa",44344,21399,45593
PQ618007.1,"cds.fna,genome.fna,proteins.faa",37602,23371,42408
PQ628237.3,"cds.fna,genome.fna,proteins.faa",62597,21181,65422
PQ632788.4,"cds.fna,genome.fna,proteins.faa",62553,24840,65623
PQ634339.1,"cds.fna,genome.fna,proteins.faa",37915,20362,41850
PQ758588.1,"cds.fna,genome.fna,proteins.faa",49563,17384,49952
PQ805431.1,"cds.fna,genome.fna,proteins.faa",46074,17452,50259
PQ821741.1,"cds.fna,genome.fna,proteins.faa",41502,7875,38238
PQ821891.1,"cds.fna,genome.fna,proteins.faa",44076,15816,46938
PQ826431.1,"genome.fna,proteins.faa",153337,1,
PQ890122.1,"cds.fna,genome.fna,proteins.faa",113164,49312,120314
PV012638.1,"cds.fna,genome.fna,proteins.faa",44579,14548,45020
PV037644.1,"cds.fna,genome.fna,proteins.faa",47802,27347,46158
PV037726.1,"cds.fna,genome.fna,proteins.faa",44498,21200,48452
PV130723.1,"cds.fna,genome.fna,proteins.faa",163488,68531,180181
PV130724.1,"cds.fna,genome.fna,proteins.faa",161914,69236,178462
PV130725.1,"cds.fna,genome.fna,proteins.faa",62784,32571,69569
PV130726.1,"cds.fna,genome.fna,proteins.faa",63120,36992,70152
PV156121.1,"cds.fna,genome.fna,proteins.faa",64948,24633,66693
PV224507.1,"cds.fna,genome.fna,proteins.faa",43735,16337,46052
PV231355.1,"cds.fna,genome.fna,proteins.faa",226252,88538,233106
PV261948.1,"cds.fna,genome.fna,proteins.faa",149561,66102,160928
PV296012.1,"cds.fna,genome.fna,proteins.faa",159403,69668,165181
PV408261.1,"cds.fna,genome.fna,proteins.faa",46824,18935,48410
PV426909.1,"cds.fna,genome.fna,proteins.faa",142411,68898,150905
PV426910.1,"cds.fna,genome.fna,proteins.faa",144084,54436,151145
PV449003.1,"cds.fna,genome.fna,proteins.faa",159725,71881,161110
PV504775.1,"cds.fna,genome.fna,proteins.faa",44254,16983,49557
PV504776.1,"cds.fna,genome.fna,proteins.faa",46596,21992,52081
PV506377.1,"cds.fna,genome.fna,proteins.faa",47332,20325,49573
PV506378.1,"cds.fna,genome.fna,proteins.faa",41619,30950,42095
PV695472.1,"cds.fna,genome.fna,proteins.faa",41872,18162,44344
PV695473.1,"cds.fna,genome.fna,proteins.faa",41872,13643,44344
PV702347.1,"cds.fna,genome.fna,proteins.faa",47960,19056,51023
PV714881.1,"cds.fna,genome.fna,proteins.faa",43594,11447,43778
PV754127.1,"cds.fna,genome.fna,proteins.faa",47610,21062,50918
PV764598.1,"cds.fna,genome.fna,proteins.faa",48458,20655,52029
PV764599.1,"cds.fna,genome.fna,proteins.faa",47511,20443,50193
PV764600.1,"cds.fna,genome.fna,proteins.faa",48562,27000,51721
PV764601.1,"cds.fna,genome.fna,proteins.faa",230958,95335,251299
PV764602.1,"cds.fna,genome.fna,proteins.faa",232050,99935,252575
PV764603.1,"cds.fna,genome.fna,proteins.faa",232485,102739,252943
PV796108.1,"cds.fna,genome.fna,proteins.faa",237204,87625,245862
PV844446.1,"cds.fna,genome.fna,proteins.faa",46612,31094,52210
PV915868.1,"cds.fna,genome.fna,proteins.faa",51609,32816,55788
PV915871.1,"cds.fna,genome.fna,proteins.faa",62033,25690,65875
PV915872.1,"cds.fna,genome.fna,proteins.faa",68406,27368,73289
PV915874.1,"cds.fna,genome.fna,proteins.faa",42663,23829,47050
PV915877.1,"cds.fna,genome.fna,proteins.faa",59253,33800,63982
PV915878.1,"cds.fna,genome.fna,proteins.faa",62454,25480,66471
PV915887.1,"cds.fna,genome.fna,proteins.faa",72544,34953,79747
PV915889.1,"cds.fna,genome.fna,proteins.faa",52163,33236,56102
PV915890.1,"cds.fna,genome.fna,proteins.faa",52169,20550,57325
PV915895.1,"cds.fna,genome.fna,proteins.faa",57393,33761,63710
PV915896.1,"cds.fna,genome.fna,proteins.faa",59649,25423,66606
PV915901.1,"cds.fna,genome.fna,proteins.faa",69923,27606,76119
PV915902.1,"cds.fna,genome.fna,proteins.faa",56291,26900,61843
PV920691.1,"cds.fna,genome.fna,proteins.faa",92428,26318,88655
PV940981.1,"cds.fna,genome.fna,proteins.faa",157380,73965,164593
PV940982.1,"cds.fna,genome.fna,proteins.faa",72128,30992,76617
PV940985.1,"cds.fna,genome.fna,proteins.faa",156823,72556,166457
PV940986.1,"cds.fna,genome.fna,proteins.faa",70446,25354,75745
PV940988.1,"cds.fna,genome.fna,proteins.faa",71860,37677,79518
PV940996.1,"cds.fna,genome.fna,proteins.faa",157758,77806,165578
PV940998.1,"cds.fna,genome.fna,proteins.faa",155776,68129,161079
PV941000.1,"cds.fna,genome.fna,proteins.faa",157269,68778,164422
PV976809.1,"cds.fna,genome.fna,proteins.faa",284514,109165,291004
PV976849.1,"cds.fna,genome.fna,proteins.faa",17315,4116,17368
PV985310.1,"cds.fna,genome.fna,proteins.faa",142325,62846,147279
PX021331.1,"cds.fna,genome.fna,proteins.faa",63086,22155,66143
PX021573.1,"cds.fna,genome.fna,proteins.faa",43849,21443,47931
PX021574.1,"cds.fna,genome.fna,proteins.faa",43848,21143,47939
PX021575.1,"cds.fna,genome.fna,proteins.faa",142324,62477,146590
PX023499.1,"genome.fna,proteins.faa",160815,1,
PX068454.1,"cds.fna,genome.fna,proteins.faa",137631,1430,140834
PX068455.1,"cds.fna,genome.fna,proteins.faa",138621,57189,142590
PX068456.1,"cds.fna,genome.fna,proteins.faa",148166,64408,154942
PX091869.1,"cds.fna,genome.fna,proteins.faa",39655,11528,42106
PX091870.1,"cds.fna,genome.fna,proteins.faa",39700,23131,42049
PX091871.1,"cds.fna,genome.fna,proteins.faa",40627,16990,43550
PX091872.1,"cds.fna,genome.fna,proteins.faa",42225,25538,44408
PX102495.1,"cds.fna,genome.fna,proteins.faa",43883,19587,47698
PX132564.1,"cds.fna,genome.fna,proteins.faa",48312,11973,49959
PX237226.1,"cds.fna,genome.fna,proteins.faa",42413,8924,43511
PX259653.1,"cds.fna,genome.fna,proteins.faa",43212,27395,46005
PX260327.1,"cds.fna,genome.fna,proteins.faa",46580,17573,49402
PX260991.1,"cds.fna,genome.fna,proteins.faa",38136,9815,41814
PX278216.1,"cds.fna,genome.fna,proteins.faa",17812,2655,18190
PX310626.1,"cds.fna,genome.fna,proteins.faa",63499,12260,50090
PX376716.1,"cds.fna,genome.fna,proteins.faa",17820,2891,19035
PX377017.1,"cds.fna,genome.fna,proteins.faa",39294,7966,41132
PX380000.1,"cds.fna,genome.fna,proteins.faa",44037,12086,43424
PX393108.1,"cds.fna,genome.fna,proteins.faa",169697,86311,183906
PX393109.1,"cds.fna,genome.fna,proteins.faa",115172,54508,121468
PX393110.1,"cds.fna,genome.fna,proteins.faa",114588,41909,121617
PX395730.1,"cds.fna,genome.fna,proteins.faa",44005,19617,46280
PX408737.1,"cds.fna,genome.fna,proteins.faa",293048,95518,299242
PX408738.1,"cds.fna,genome.fna,proteins.faa",95393,33668,102787
PX408739.1,"cds.fna,genome.fna,proteins.faa",43773,16935,48148
PX418225.1,"cds.fna,genome.fna,proteins.faa",300417,107826,316364
PX418226.1,"cds.fna,genome.fna,proteins.faa",95297,43916,98565
PX418922.1,"cds.fna,genome.fna,proteins.faa",152014,83543,161803
PX418923.1,"cds.fna,genome.fna,proteins.faa",50782,20982,53250
PX418924.1,"cds.fna,genome.fna,proteins.faa",39115,10133,38732
PX418925.1,"cds.fna,genome.fna,proteins.faa",287120,99082,294917
PX418926.1,"cds.fna,genome.fna,proteins.faa",43954,13559,46375
PX421306.1,"genome.fna,proteins.faa",170023,1,
PX433293.1,"genome.fna,proteins.faa",43940,1,
PX441352.1,"genome.fna,proteins.faa",66650,1,
PX444441.1,"cds.fna,genome.fna,proteins.faa",46380,19171,49843
PX505723.1,"cds.fna,genome.fna,proteins.faa",159882,97440,172732
PX516693.1,"cds.fna,genome.fna,proteins.faa",50080,19197,53228
PX529685.1,"cds.fna,genome.fna,proteins.faa",40238,11291,39730
PX530545.1,"genome.fna,proteins.faa",212944,1,
PX530551.1,"cds.fna,genome.fna,proteins.faa",42839,18345,42223
PX550013.1,"cds.fna,genome.fna,proteins.faa",141931,78946,152018
PX550014.1,"cds.fna,genome.fna,proteins.faa",139929,72698,149678
PX572931.1,"cds.fna,genome.fna,proteins.faa",53817,27556,55262
PX585177.1,"cds.fna,genome.fna,proteins.faa",280887,149700,303182
PX596716.1,"cds.fna,genome.fna,proteins.faa",95480,40187,96042
PX630731.1,"cds.fna,genome.fna,proteins.faa",45821,20267,50108
PX630732.1,"cds.fna,genome.fna,proteins.faa",45821,19950,50336
PX630733.1,"cds.fna,genome.fna,proteins.faa",46386,20925,50762
PX630734.1,"cds.fna,genome.fna,proteins.faa",45820,22267,50434
PX630735.1,"cds.fna,genome.fna,proteins.faa",46516,20647,51209
PX630736.1,"cds.fna,genome.fna,proteins.faa",45867,14535,50269
PX630737.1,"cds.fna,genome.fna,proteins.faa",45843,30183,50287
PX630738.1,"cds.fna,genome.fna,proteins.faa",45867,21890,50302
PX630739.1,"cds.fna,genome.fna,proteins.faa",45802,18575,50350
PX630740.1,"cds.fna,genome.fna,proteins.faa",45822,31592,50393
PX630741.1,"cds.fna,genome.fna,proteins.faa",45547,18670,49703
PX651399.1,"cds.fna,genome.fna,proteins.faa",43838,23142,45282
PX651400.1,"cds.fna,genome.fna,proteins.faa",40561,17393,42581
PX651401.1,"cds.fna,genome.fna,proteins.faa",40005,11438,40690
PX651402.1,"cds.fna,genome.fna,proteins.faa",106490,36942,106100
PX651403.1,"cds.fna,genome.fna,proteins.faa",109039,40071,108230
PX651718.1,"cds.fna,genome.fna,proteins.faa",53765,17033,53175
PX654436.1,"cds.fna,genome.fna,proteins.faa",150757,66219,157714
PX655697.1,"cds.fna,genome.fna,proteins.faa",142937,63805,150003
PX667142.1,"cds.fna,genome.fna,proteins.faa",132591,11624,52194
PX670425.1,"genome.fna,proteins.faa",62355,1,
PX673948.1,"cds.fna,genome.fna,proteins.faa",47651,1,46586
PX673949.1,"cds.fna,genome.fna,proteins.faa",102307,32702,98476
PX674298.1,"cds.fna,genome.fna,proteins.faa",155181,74340,147412
PX677422.1,"cds.fna,genome.fna,proteins.faa",48437,19998,49728
PX680747.1,"cds.fna,genome.fna,proteins.faa",43088,19905,45182
PX680748.1,"cds.fna,genome.fna,proteins.faa",77023,23067,77641
PX682299.1,"cds.fna,genome.fna,proteins.faa",44032,27292,48753
PX682300.1,"cds.fna,genome.fna,proteins.faa",44497,22624,48385
PX682301.1,"cds.fna,genome.fna,proteins.faa",43174,19544,48028
PX682302.1,"cds.fna,genome.fna,proteins.faa",45561,20434,49909
PX682303.1,"cds.fna,genome.fna,proteins.faa",46533,20532,50528
PX682304.1,"cds.fna,genome.fna,proteins.faa",45433,20609,50160
PX682305.1,"cds.fna,genome.fna,proteins.faa",43113,19353,47686
PX682306.1,"cds.fna,genome.fna,proteins.faa",46860,20782,51109
PX682307.1,"cds.fna,genome.fna,proteins.faa",46886,20896,51300
PX682308.1,"cds.fna,genome.fna,proteins.faa",45201,20427,49558
PX682309.1,"cds.fna,genome.fna,proteins.faa",45251,20521,49994
PX682310.1,"cds.fna,genome.fna,proteins.faa",45379,20523,50023
PX682311.1,"cds.fna,genome.fna,proteins.faa",44602,20463,49820
PX682312.1,"cds.fna,genome.fna,proteins.faa",44828,20620,50021
PX682313.1,"cds.fna,genome.fna,proteins.faa",45074,20481,50049
PX682314.1,"cds.fna,genome.fna,proteins.faa",44654,20381,49889
PX682315.1,"cds.fna,genome.fna,proteins.faa",46838,20297,50488
PX682316.1,"cds.fna,genome.fna,proteins.faa",45512,20444,50102
PX682317.1,"cds.fna,genome.fna,proteins.faa",45251,20521,49994
PX682318.1,"cds.fna,genome.fna,proteins.faa",46434,20620,50631
PX682319.1,"cds.fna,genome.fna,proteins.faa",46838,20150,50048
PX682320.1,"cds.fna,genome.fna,proteins.faa",45511,20387,50101
PX682321.1,"cds.fna,genome.fna,proteins.faa",43894,19605,47960
PX682322.1,"cds.fna,genome.fna,proteins.faa",45417,20358,49711
PX682323.1,"cds.fna,genome.fna,proteins.faa",47471,21040,51309
PX682324.1,"cds.fna,genome.fna,proteins.faa",45634,20448,49714
PX682327.1,"cds.fna,genome.fna,proteins.faa",46741,21201,51489
PX682328.1,"cds.fna,genome.fna,proteins.faa",46372,20681,50857
PX682329.1,"cds.fna,genome.fna,proteins.faa",47657,21292,51762
PX682330.1,"cds.fna,genome.fna,proteins.faa",47665,21038,51456
PX725649.1,"cds.fna,genome.fna,proteins.faa",43791,12926,45741
PX725670.1,"cds.fna,genome.fna,proteins.faa",94200,54183,99735
PX753197.1,"cds.fna,genome.fna,proteins.faa",44880,14200,48600
PX753198.1,"cds.fna,genome.fna,proteins.faa",44880,18638,47930
PX753199.1,"cds.fna,genome.fna,proteins.faa",45126,18694,48404
PX787798.1,"cds.fna,genome.fna,proteins.faa",17290,6696,16680
PX789324.1,"cds.fna,genome.fna,proteins.faa",59699,21841,64760
PX789325.1,"cds.fna,genome.fna,proteins.faa",61763,17298,66980
PX789326.1,"cds.fna,genome.fna,proteins.faa",61004,30875,66184
PX789327.1,"cds.fna,genome.fna,proteins.faa",61088,18826,66482
PX789328.1,"cds.fna,genome.fna,proteins.faa",65704,30993,70453
PX789329.1,"cds.fna,genome.fna,proteins.faa",57845,26245,60379
PX789330.1,"cds.fna,genome.fna,proteins.faa",45416,22906,49671
PX828561.1,"cds.fna,genome.fna,proteins.faa",75965,29689,79544
PX828562.1,"cds.fna,genome.fna,proteins.faa",75838,26391,79027
PX828563.1,"cds.fna,genome.fna,proteins.faa",75965,30206,78281
PX828564.1,"cds.fna,genome.fna,proteins.faa",57201,22479,59688
PX842512.1,"cds.fna,genome.fna,proteins.faa",158558,63846,160419
PX842636.1,"cds.fna,genome.fna,proteins.faa",44104,22073,45286
PX842708.1,"cds.fna,genome.fna,proteins.faa",138321,67515,136106
PX843004.1,"cds.fna,genome.fna,proteins.faa",50742,23757,53408
PX843005.1,"cds.fna,genome.fna,proteins.faa",49996,24904,49801
PX843006.1,"cds.fna,genome.fna,proteins.faa",46547,21447,48417
PX843241.1,"cds.fna,genome.fna,proteins.faa",43900,16934,45276
PX843242.1,"cds.fna,genome.fna,proteins.faa",43523,16083,46484
PX843243.1,"cds.fna,genome.fna,proteins.faa",43483,17810,46721
PX843244.1,"cds.fna,genome.fna,proteins.faa",41376,13793,41035
PX843245.1,"cds.fna,genome.fna,proteins.faa",64234,18097,67803
PX843246.1,"cds.fna,genome.fna,proteins.faa",45898,14667,47507
PX848770.1,"cds.fna,genome.fna,proteins.faa",135777,75334,138365
PX852194.1,"cds.fna,genome.fna,proteins.faa",88998,20272,85456
PX852245.1,"cds.fna,genome.fna,proteins.faa",65058,14256,65253
PX853108.1,"cds.fna,genome.fna,proteins.faa",72889,29842,72480
PX853812.1,"cds.fna,genome.fna,proteins.faa",170347,73067,181298
PX854772.1,"cds.fna,genome.fna,proteins.faa",42187,11400,43187
PX866597.1,"cds.fna,genome.fna,proteins.faa",155411,69436,162029
PX866599.1,"cds.fna,genome.fna,proteins.faa",39831,21148,42265
PX866600.1,"cds.fna,genome.fna,proteins.faa",145357,61115,142921
PX866601.1,"cds.fna,genome.fna,proteins.faa",157136,83097,164524
PX866603.1,"cds.fna,genome.fna,proteins.faa",81648,31802,81671
PX866605.1,"cds.fna,genome.fna,proteins.faa",57934,29653,63151
PX866611.1,"cds.fna,genome.fna,proteins.faa",60913,22759,65572
PX866612.1,"cds.fna,genome.fna,proteins.faa",61988,33183,68153
PX866998.1,"cds.fna,genome.fna,proteins.faa",43498,17548,44977
PX871048.2,"cds.fna,genome.fna,proteins.faa",44279,170,49596
PX872122.1,"cds.fna,genome.fna,proteins.faa",136826,61926,142739
PX872532.1,"cds.fna,genome.fna,proteins.faa",21316,5208,21987
PX872915.1,"cds.fna,genome.fna,proteins.faa",50158,23567,53728
PX872916.1,"cds.fna,genome.fna,proteins.faa",43829,16130,47675
PX872917.1,"cds.fna,genome.fna,proteins.faa",40753,20118,43027
PX872919.1,"cds.fna,genome.fna,proteins.faa",41822,13435,42514
PX872920.1,"cds.fna,genome.fna,proteins.faa",40857,8725,40443
PX872921.1,"cds.fna,genome.fna,proteins.faa",41286,10407,39707
PX872922.1,"cds.fna,genome.fna,proteins.faa",50199,19016,53364
PX872923.1,"cds.fna,genome.fna,proteins.faa",46902,26419,51711
PX880098.1,"cds.fna,genome.fna,proteins.faa",45383,13818,49976
PX880099.1,"cds.fna,genome.fna,proteins.faa",154387,83353,171378
PX880100.1,"cds.fna,genome.fna,proteins.faa",110137,52779,116863
PX880101.1,"cds.fna,genome.fna,proteins.faa",137294,71997,150054
PX880102.1,"cds.fna,genome.fna,proteins.faa",168702,76269,185573
PX880103.1,"cds.fna,genome.fna,proteins.faa",167923,79412,184532
PX884078.1,"genome.fna,proteins.faa",290715,1,
PX884079.1,"genome.fna,proteins.faa",284276,1,
PX884080.1,"genome.fna,proteins.faa",67052,1,
PX907400.1,"cds.fna,genome.fna,proteins.faa",43990,29362,48741
PX907401.1,"cds.fna,genome.fna,proteins.faa",44691,14228,48582
PX907402.1,"cds.fna,genome.fna,proteins.faa",45007,24056,48810
PX907403.1,"cds.fna,genome.fna,proteins.faa",45553,18270,49108
PX907404.1,"cds.fna,genome.fna,proteins.faa",51717,24633,56040
PX943558.1,"cds.fna,genome.fna,proteins.faa",41728,15534,42651
PX943615.1,"cds.fna,genome.fna,proteins.faa",44673,13242,43536
PX943855.1,"cds.fna,genome.fna,proteins.faa",141530,61526,150847
PX943856.1,"cds.fna,genome.fna,proteins.faa",157203,53258,171933
PX944703.1,"cds.fna,genome.fna,proteins.faa",39175,10462,40536
PX944704.1,"cds.fna,genome.fna,proteins.faa",89016,48586,93368
PX944705.1,"cds.fna,genome.fna,proteins.faa",159537,61520,171351
PX944706.1,"cds.fna,genome.fna,proteins.faa",113919,58912,119862
PX944707.1,"cds.fna,genome.fna,proteins.faa",112953,66842,119061
PX944708.1,"cds.fna,genome.fna,proteins.faa",161858,66957,173078
PX944709.1,"cds.fna,genome.fna,proteins.faa",114005,65129,120084
PX944710.1,"cds.fna,genome.fna,proteins.faa",87440,47810,91035
PX946034.1,"cds.fna,genome.fna,proteins.faa",115621,54086,112222
PX946180.1,"cds.fna,genome.fna,proteins.faa",38914,13149,38898
PX946874.1,"genome.fna,proteins.faa",65249,1,
PX946875.1,"genome.fna,proteins.faa",51151,1,
PX951411.1,"cds.fna,genome.fna,proteins.faa",92864,47605,95439
PX962436.1,"cds.fna,genome.fna,proteins.faa",48864,15839,47901
PX963123.1,"cds.fna,genome.fna,proteins.faa",50851,22412,54689
PX963124.1,"cds.fna,genome.fna,proteins.faa",42987,21639,47016
PX963126.1,"cds.fna,genome.fna,proteins.faa",43740,15861,47799
PX963128.1,"cds.fna,genome.fna,proteins.faa",110011,50639,116586
PX963129.1,"cds.fna,genome.fna,proteins.faa",43409,14321,46069
PX963130.1,"cds.fna,genome.fna,proteins.faa",63904,11769,70484
PX963132.1,"cds.fna,genome.fna,proteins.faa",43965,1,46539
PX968304.1,"cds.fna,genome.fna,proteins.faa",45714,1,54963
PX968319.1,"genome.fna,proteins.faa",94234,1,
PX969073.1,"cds.fna,genome.fna,proteins.faa",43379,14522,46951
PX969074.1,"cds.fna,genome.fna,proteins.faa",46139,29588,50812
PX969075.1,"cds.fna,genome.fna,proteins.faa",41345,12339,44704
PX969080.1,"cds.fna,genome.fna,proteins.faa",38851,9812,39330
PX969468.1,"cds.fna,genome.fna,proteins.faa",142253,52944,145301
PX974237.1,"cds.fna,genome.fna,proteins.faa",45446,19948,48242
PX974238.1,genome.fna,50389,,
PX974239.1,"cds.fna,genome.fna,proteins.faa",44429,19838,50056
PX974311.1,"cds.fna,genome.fna,proteins.faa",42115,17927,42215
PX974331.1,"cds.fna,genome.fna,proteins.faa",41494,10312,40919
PX974332.1,"cds.fna,genome.fna,proteins.faa",49285,19490,52894
PX974333.1,"cds.fna,genome.fna,proteins.faa",49750,22537,52534
PX974340.1,"cds.fna,genome.fna,proteins.faa",26096,10512,22762
PX974351.1,"cds.fna,genome.fna,proteins.faa",45063,15036,43480
PX979746.1,"genome.fna,proteins.faa",60210,1,
PX994957.1,"cds.fna,genome.fna,proteins.faa",169886,78123,184151
PX997083.1,"cds.fna,genome.fna,proteins.faa",43608,18110,46069
PX997131.1,"cds.fna,genome.fna,proteins.faa",49756,28418,55633
PZ000613.1,"cds.fna,genome.fna,proteins.faa",78078,35136,79334
PZ000615.1,"cds.fna,genome.fna,proteins.faa",52765,24563,55278
PZ000751.1,"cds.fna,genome.fna,proteins.faa",50923,22700,51791
PZ000752.1,"cds.fna,genome.fna,proteins.faa",40918,12371,40688
PZ005745.1,"cds.fna,genome.fna,proteins.faa",284948,102723,293617
PZ014354.1,"cds.fna,genome.fna,proteins.faa",47211,22804,51547
PZ019082.1,"cds.fna,genome.fna,proteins.faa",41246,18660,45206
PZ019083.1,"cds.fna,genome.fna,proteins.faa",41783,22076,46135
PZ019084.1,"cds.fna,genome.fna,proteins.faa",168838,74702,185079
PZ019085.1,"cds.fna,genome.fna,proteins.faa",170892,76156,187679
PZ019086.1,"cds.fna,genome.fna,proteins.faa",172289,79396,189439
PZ019799.1,"cds.fna,genome.fna,proteins.faa",48634,21739,53033
PZ019800.1,"cds.fna,genome.fna,proteins.faa",48159,21371,52197
PZ019801.1,"cds.fna,genome.fna,proteins.faa",48157,21479,52506
PZ019802.1,"cds.fna,genome.fna,proteins.faa",48146,21798,52559
PZ019803.1,"cds.fna,genome.fna,proteins.faa",48160,21466,52193
PZ020097.1,"cds.fna,genome.fna,proteins.faa",113892,63403,119186
PZ020098.1,"cds.fna,genome.fna,proteins.faa",113918,63772,119281
PZ022450.1,"genome.fna,proteins.faa",177160,1,
PZ025973.1,"cds.fna,genome.fna,proteins.faa",18182,4404,18163
PZ026127.1,"cds.fna,genome.fna,proteins.faa",173854,74640,189898
PZ027503.1,"genome.fna,proteins.faa",153155,1,
PZ036784.1,"cds.fna,genome.fna,proteins.faa",40109,14701,39172
PZ043209.1,"cds.fna,genome.fna,proteins.faa",46224,18866,50741
PZ048998.1,"cds.fna,genome.fna,proteins.faa",43196,20395,44532
PZ049337.1,"cds.fna,genome.fna,proteins.faa",53786,22991,52047
PZ049338.1,"cds.fna,genome.fna,proteins.faa",68496,37369,71136
PZ049449.1,"genome.fna,proteins.faa",110802,1,
PZ049694.1,"cds.fna,genome.fna,proteins.faa",170934,68099,151320
PZ050807.1,"cds.fna,genome.fna,proteins.faa",45891,17873,47764
PZ050808.1,"cds.fna,genome.fna,proteins.faa",53552,24708,57953
PZ051231.1,"cds.fna,genome.fna,proteins.faa",136847,63715,142742
PZ051232.1,"cds.fna,genome.fna,proteins.faa",140348,58792,145418
PZ053910.1,"cds.fna,genome.fna,proteins.faa",64534,21121,70216
PZ053911.1,"cds.fna,genome.fna,proteins.faa",67682,26099,73548
PZ053912.1,"cds.fna,genome.fna,proteins.faa",172518,71353,183047
PZ055531.1,"cds.fna,genome.fna,proteins.faa",40019,1,42393
PZ055532.1,"cds.fna,genome.fna,proteins.faa",43748,18152,47136
PZ055533.1,"cds.fna,genome.fna,proteins.faa",149351,88723,165253
PZ055534.1,"cds.fna,genome.fna,proteins.faa",111579,44796,118777
PZ055535.1,"cds.fna,genome.fna,proteins.faa",44602,18927,48915
PZ055536.1,"cds.fna,genome.fna,proteins.faa",40019,10487,42174
PZ055537.1,"cds.fna,genome.fna,proteins.faa",50120,16158,54098
PZ055538.1,"cds.fna,genome.fna,proteins.faa",50279,30118,54306
PZ055573.1,"cds.fna,genome.fna,proteins.faa",41373,17666,44538
PZ055574.1,"cds.fna,genome.fna,proteins.faa",40914,12247,43577
PZ055575.1,"cds.fna,genome.fna,proteins.faa",40839,15789,43493
PZ055576.1,"cds.fna,genome.fna,proteins.faa",41071,15929,43753
PZ069137.1,"cds.fna,genome.fna,proteins.faa",48451,22470,54019
PZ091928.1,"cds.fna,genome.fna,proteins.faa",41669,15514,40441
PZ091942.1,"cds.fna,genome.fna,proteins.faa",79109,32967,80630
PZ099256.1,"cds.fna,genome.fna,proteins.faa",63309,34375,66999
PZ099670.1,"cds.fna,genome.fna,proteins.faa",48079,25354,49715
PZ099671.1,"cds.fna,genome.fna,proteins.faa",114320,36721,112243
PZ105927.1,"cds.fna,genome.fna,proteins.faa",40929,11476,36751
PZ122515.1,"cds.fna,genome.fna,proteins.faa",37996,14051,41992
PZ122516.1,"cds.fna,genome.fna,proteins.faa",94428,50682,105551
PZ125038.1,"cds.fna,genome.fna,proteins.faa",137817,52787,142151
PZ125052.1,"genome.fna,proteins.faa",41849,1,
PZ145240.1,"genome.fna,proteins.faa",58332,1,
PZ145241.1,"genome.fna,proteins.faa",69718,1,
PZ145242.1,"genome.fna,proteins.faa",69718,1,
PZ145244.1,"genome.fna,proteins.faa",57130,1,
PZ171032.1,"cds.fna,genome.fna,proteins.faa",137143,64756,147951
PZ171033.1,"cds.fna,genome.fna,proteins.faa",74062,26216,79073
PZ171034.1,"cds.fna,genome.fna,proteins.faa",74066,20136,79456
PZ171035.1,"cds.fna,genome.fna,proteins.faa",73119,31096,78442
PZ172977.1,"cds.fna,genome.fna,proteins.faa",77863,42252,85843
PZ172978.1,"cds.fna,genome.fna,proteins.faa",72283,44094,75876
PZ172979.1,"cds.fna,genome.fna,proteins.faa",53037,20840,57389
PZ172980.1,"cds.fna,genome.fna,proteins.faa",71796,24842,77799
PZ172981.1,"cds.fna,genome.fna,proteins.faa",53408,28639,57288
PZ193109.1,"cds.fna,genome.fna,proteins.faa",97014,44726,100789
PZ212788.1,"cds.fna,genome.fna,proteins.faa",132996,71193,143613
PZ223989.1,"cds.fna,genome.fna,proteins.faa",50986,21858,51850
PZ223990.1,"cds.fna,genome.fna,proteins.faa",51814,19087,52851
PZ226539.1,"cds.fna,genome.fna,proteins.faa",94613,40486,98338
PZ226540.1,"cds.fna,genome.fna,proteins.faa",310836,127946,329355
PZ227171.1,"cds.fna,genome.fna,proteins.faa",50301,21341,52092
PZ232053.1,"cds.fna,genome.fna,proteins.faa",43407,701,46204
