phage_acc,host_acc,host_organism,label,source,confidence,notes
PZ019086.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ019086.1
PZ019086.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ019086.1
OM867527.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867527.1
OM867527.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867527.1
PX677422.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX677422.1
PX907403.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907403.1
PX853108.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX853108.1
PQ826431.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PQ826431.1
PQ826431.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PQ826431.1
PQ826431.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PQ826431.1
PQ826431.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PQ826431.1
PX907404.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907404.1
PX907404.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907404.1
PX907404.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907404.1
PX907404.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907404.1
PX907403.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907403.1
PX907403.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907403.1
PX907403.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907403.1
PX907402.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907402.1
PX853108.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX853108.1
PX907402.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907402.1
PX907402.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907402.1
PX907402.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907402.1
PX907401.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907401.1
PX907401.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907401.1
PX907401.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907401.1
PX907401.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907401.1
PX907400.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907400.1
PX907400.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907400.1
PX907400.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907400.1
PX907400.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX907400.1
PX853812.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX853812.1
PX853108.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX853108.1
PX853108.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX853108.1
OM867526.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867526.1
PX946180.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX946180.1
OM867526.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867526.1
OM867526.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867526.1
OM867526.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OM867526.1
PX994957.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX994957.1
PX994957.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX994957.1
PX994957.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX994957.1
PX994957.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX994957.1
PZ000615.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000615.1
PZ000615.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000615.1
PZ000615.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000615.1
PZ000615.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000615.1
PX946180.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX946180.1
PX946180.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX946180.1
PZ027503.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ027503.1
PX946180.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX946180.1
PZ000613.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000613.1
PZ000613.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000613.1
PZ000613.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000613.1
PZ000613.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ000613.1
PZ026127.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ026127.1
PZ026127.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ026127.1
PZ026127.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ026127.1
PZ026127.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ026127.1
PZ027503.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ027503.1
PZ027503.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ027503.1
PZ027503.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ027503.1
OZ418233.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OZ418233.1
OZ418234.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OZ418234.1
OZ418234.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OZ418234.1
PZ212788.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ212788.1
PX068454.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068454.1
PX068454.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068454.1
PX068454.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068454.1
PX068454.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068454.1
PZ223990.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223990.1
PZ223990.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223990.1
PZ223990.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223990.1
PZ223990.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223990.1
PZ223989.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223989.1
PZ223989.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223989.1
PZ223989.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223989.1
PZ223989.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ223989.1
PZ212788.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ212788.1
PX068455.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068455.1
PZ212788.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ212788.1
PZ212788.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ212788.1
PZ171035.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171035.1
PZ171035.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171035.1
PZ171035.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171035.1
PZ171035.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171035.1
PZ171034.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171034.1
PZ171034.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171034.1
PZ171034.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171034.1
PZ171034.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171034.1
PZ171033.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171033.1
PZ171033.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171033.1
PX068455.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068455.1
PX068455.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068455.1
OZ418234.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OZ418234.1
PX673949.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673949.1
PX677422.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX677422.1
PX677422.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX677422.1
PV976809.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PV976809.1
PV976809.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PV976809.1
PV976809.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PV976809.1
PV976809.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PV976809.1
OR540302.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:OR540302.1
OR540302.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:OR540302.1
OR540302.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:OR540302.1
OR540302.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:OR540302.1
PX673949.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673949.1
PX673949.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673949.1
PX673949.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673949.1
PX068455.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068455.1
PX673948.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673948.1
PX673948.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673948.1
PX673948.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673948.1
PX673948.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:PX673948.1
PX871048.2,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX871048.2
PX871048.2,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX871048.2
PX871048.2,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX871048.2
PX871048.2,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX871048.2
PX068456.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068456.1
PX068456.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068456.1
PX068456.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068456.1
PX068456.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX068456.1
PZ171033.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171033.1
PZ171033.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171033.1
PZ171032.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171032.1
PX969075.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX969075.1
PZ091942.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ091942.1
PX421306.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX421306.1
PX421306.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX421306.1
PX421306.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX421306.1
PX421306.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX421306.1
PX962436.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX962436.1
PX962436.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX962436.1
PX962436.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX962436.1
PX962436.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX962436.1
PX969075.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX969075.1
PX969075.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX969075.1
PX969075.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX969075.1
PX943856.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX943856.1
PZ171032.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171032.1
PX943856.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX943856.1
PX943856.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX943856.1
PX943856.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX943856.1
PZ049694.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049694.1
PZ049694.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049694.1
PZ049694.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049694.1
PZ049694.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049694.1
PZ053912.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ053912.1
PZ053912.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ053912.1
PZ053912.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ053912.1
PZ053912.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ053912.1
OZ418234.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:OZ418234.1
PZ091942.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ091942.1
PZ091942.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ091942.1
PZ091942.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ091942.1
PZ049337.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049337.1
PZ171032.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171032.1
PZ171032.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ171032.1
PX132564.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX132564.1
PX132564.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX132564.1
PX132564.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX132564.1
PX132564.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX132564.1
PX393110.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393110.1
PX393110.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393110.1
PX393110.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393110.1
PX393110.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393110.1
PX393109.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393109.1
PX393109.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393109.1
PX393109.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393109.1
PX393109.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393109.1
PX393108.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393108.1
MZ089741.2,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Pseudomonas|NCBI:MZ089741.2
PX393108.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393108.1
PX393108.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PX393108.1
PZ049338.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049338.1
PZ049338.1,NZ_CP155977,Xanthomonas campestris pv. campestris,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049338.1
PZ049338.1,NZ_CP167870,Xanthomonas axonopodis,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049338.1
PZ049338.1,NZ_CP118477,Xanthomonas citri,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049338.1
PZ049337.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,0,inferred_taxonomy,0.500000,Module_A_cross_genus:Escherichia|NCBI:PZ049337.1
